Function name	Start
sub_820A0000	820A0000
sub_820A0030	820A0030
AngleNormalize180	820A0088
sub_820A00E0	820A00E0
sub_820A0138	820A0138
sub_820A0198	820A0198
sub_820A0218	820A0218
sub_820A0258	820A0258
sub_820A0300	820A0300
sub_820A0358	820A0358
sub_820A0408	820A0408
sub_820A0468	820A0468
sub_820A0538	820A0538
sub_820A05A0	820A05A0
sub_820A0728	820A0728
sub_820A0808	820A0808
sub_820A0A10	820A0A10
sub_820A0A68	820A0A68
sub_820A0B40	820A0B40
sub_820A0C48	820A0C48
sub_820A0CA0	820A0CA0
sub_820A0E40	820A0E40
sub_820A13E8	820A13E8
sub_820A14D0	820A14D0
sub_820A15B0	820A15B0
sub_820A1770	820A1770
sub_820A18A8	820A18A8
sub_820A1990	820A1990
sub_820A1B08	820A1B08
sub_820A1B88	820A1B88
sub_820A1C08	820A1C08
sub_820A1C80	820A1C80
sub_820A1CE8	820A1CE8
sub_820A1F70	820A1F70
sub_820A1FB0	820A1FB0
sub_820A1FE8	820A1FE8
sub_820A2170	820A2170
sub_820A2258	820A2258
sub_820A2300	820A2300
sub_820A23C0	820A23C0
sub_820A24B0	820A24B0
sub_820A2550	820A2550
sub_820A25A0	820A25A0
sub_820A2A58	820A2A58
sub_820A2AB0	820A2AB0
sub_820A2B20	820A2B20
sub_820A2BB0	820A2BB0
sub_820A2C20	820A2C20
sub_820A2CC8	820A2CC8
sub_820A2E38	820A2E38
sub_820A2F70	820A2F70
sub_820A3198	820A3198
sub_820A3230	820A3230
sub_820A3400	820A3400
sub_820A3518	820A3518
sub_820A36B0	820A36B0
sub_820A3798	820A3798
sub_820A3880	820A3880
sub_820A3A40	820A3A40
sub_820A3B38	820A3B38
sub_820A3D08	820A3D08
sub_820A3D90	820A3D90
sub_820A3E80	820A3E80
sub_820A3F58	820A3F58
sub_820A4078	820A4078
sub_820A4110	820A4110
sub_820A43F0	820A43F0
sub_820A5180	820A5180
sub_820A5198	820A5198
sub_820A5260	820A5260
sub_820A5FB8	820A5FB8
sub_820A60B0	820A60B0
sub_820A6148	820A6148
sub_820A6240	820A6240
sub_820A6330	820A6330
sub_820A63C8	820A63C8
sub_820A64E8	820A64E8
sub_820A69A8	820A69A8
sub_820A6AA8	820A6AA8
sub_820A6B28	820A6B28
sub_820A6C48	820A6C48
sub_820A6CD8	820A6CD8
sub_820A7040	820A7040
sub_820A7318	820A7318
sub_820A73E0	820A73E0
sub_820A74A8	820A74A8
sub_820A7518	820A7518
sub_820A75B0	820A75B0
sub_820A7638	820A7638
sub_820A7758	820A7758
sub_820A7AC8	820A7AC8
sub_820A7B60	820A7B60
sub_820A7C00	820A7C00
sub_820A7D58	820A7D58
sub_820A8120	820A8120
sub_820A8220	820A8220
sub_820A8320	820A8320
sub_820A8790	820A8790
sub_820A8858	820A8858
sub_820A8B68	820A8B68
sub_820A8DC0	820A8DC0
sub_820A8DD0	820A8DD0
